image_indx,time [min],x center [um],y center [um],x span [um],y span [um],area [um^2],outline [um],ramification index,spanned area (convex hull) [um^2],spanned outline (convex hull) [um],spanned area center x (convex hull) [um],spanned area center y (convex hull) [um],polarity vector x (binary) [um],polarity vector y (binary) [um],polarity vector length (binary) [um],polarity index (binary),ID of largest skeleton (skl),# found skls,# branches (largest skl),# junctions (largest skl),# tips (largest skl),# triple points (largest skl),# quadruple points (largest skl),# junction voxels (largest skl),# slab voxels (largest skl),tree length (largest skl) [um],average branch length (largest skl) [um],maximum branch length (largest skl) [um],shortest path (largest skl) [um],# branches (all skls),# junctions (all skls),# tips (all skls),# triple points (all skls),# quadruple points (all skls),# junction voxels (all skls),# slab voxels (all skls),tree length (all skls) [um],average branch length (all skls) [um],maximum branch length (all skls) [um],shortest path (all skl) [um]
1234,0.0,14.056597,13.328714,26.271,28.773,407.943594,146.784,2.050094,532.448118,108.42,13.962691,13.550185,-0.093906,0.221471,0.240558,0.009239,1,1,5,2,4,2,0,2,83,41.460812,8.292162,12.640816,25.799814,5,2,4,2,0,2,83,41.460812,8.292162,12.640816,25.799814
1235,0.0,12.839299,10.158905,27.105,20.85,387.77247,105.918,1.517317,428.636385,94.242,12.797332,10.478034,-0.041967,0.319129,0.321876,0.013778,1,1,1,0,2,0,0,0,20,9.793362,9.793362,9.793362,9.793362,1,0,2,0,0,0,20,9.793362,9.793362,9.793362,9.793362
1236,0.0,13.611768,15.292232,25.854,28.773,546.880905,112.59,1.358152,563.922027,107.586,13.384311,15.09333,-0.227457,-0.198902,0.302157,0.011276,1,1,1,0,2,0,0,0,13,6.874362,6.874362,6.874362,6.874362,1,0,2,0,0,0,13,6.874362,6.874362,6.874362,6.874362
1237,0.0,13.684784,13.325457,32.943,25.437,496.626984,139.278,1.763041,622.870398,114.258,15.160662,12.443527,1.475879,-0.88193,1.719308,0.061052,1,1,5,2,4,2,0,2,64,34.127539,6.825508,11.27636,28.43263,5,2,4,2,0,2,64,34.127539,6.825508,11.27636,28.43263
1238,0.0,14.510786,22.667615,27.939,52.959,890.31168,192.654,1.821386,1147.493511,160.128,14.855317,26.197098,0.344531,3.529483,3.546259,0.092777,1,1,3,1,3,1,0,3,105,53.988172,17.996057,24.060268,40.787263,3,1,3,1,0,3,105,53.988172,17.996057,24.060268,40.787263
1239,0.0,10.861562,21.293922,22.935,42.117,748.766034,141.78,1.461628,803.541069,128.436,11.031369,21.286988,0.169807,-0.006934,0.169949,0.005313,1,1,1,0,2,0,0,0,39,16.68,16.68,16.68,16.68,1,0,2,0,0,0,39,16.68,16.68,16.68,16.68
1240,0.0,21.597009,11.921583,38.364,24.603,494.714205,136.776,1.734714,593.135379,124.266,20.459712,12.376073,-1.137297,0.45449,1.224747,0.044567,1,1,3,1,3,1,0,1,73,36.873812,12.291271,18.853906,35.450085,3,1,3,1,0,1,73,36.873812,12.291271,18.853906,35.450085
1241,0.0,11.680598,13.481008,24.186,25.437,315.434646,110.922,1.761806,385.164135,97.578,10.774508,13.154326,-0.906089,-0.326682,0.963182,0.043494,1,1,3,1,3,1,0,3,54,30.302993,10.100998,14.928179,28.462266,3,1,3,1,0,3,54,30.302993,10.100998,14.928179,28.462266
1242,0.0,9.354861,16.405329,22.101,29.607,359.428563,109.254,1.625647,415.59471,101.748,8.948401,15.66594,-0.40646,-0.739389,0.843745,0.036679,1,1,1,0,2,0,0,0,34,17.013179,17.013179,17.013179,17.013179,1,0,2,0,0,0,34,17.013179,17.013179,17.013179,17.013179
1243,0.0,33.858921,24.647816,53.793,48.372,1377.722547,235.188,1.787431,1626.036039,202.662,32.052076,23.916361,-1.806845,-0.731454,1.949286,0.042841,1,1,5,2,4,2,0,6,153,78.018804,15.603761,25.525906,54.590174,5,2,4,2,0,6,153,78.018804,15.603761,25.525906,54.590174
1244,0.0,24.338136,23.13815,47.121,47.538,1518.05097,194.322,1.406934,1584.476568,187.65,23.784194,23.409891,-0.553942,0.271741,0.617005,0.013737,1,1,1,0,2,0,0,0,22,11.490998,11.490998,11.490998,11.490998,1,0,2,0,0,0,22,11.490998,11.490998,11.490998,11.490998
1245,0.0,23.019063,24.117721,45.453,45.453,831.537198,282.726,2.765795,1389.720888,180.144,25.552103,24.239638,2.53304,0.121917,2.535972,0.060287,1,1,10,5,5,5,0,7,164,87.513708,8.751371,19.919903,42.038263,10,5,5,5,0,7,164,87.513708,8.751371,19.919903,42.038263
1246,0.0,13.012221,14.824975,24.186,32.109,533.491452,129.27,1.578807,618.175395,110.922,13.282476,15.774037,0.270255,0.949061,0.98679,0.035173,1,1,1,0,2,0,0,0,58,28.230268,28.230268,28.230268,28.230268,1,0,2,0,0,0,58,28.230268,28.230268,28.230268,28.230268
1247,0.0,17.550648,17.011521,40.866,45.036,729.116577,205.164,2.143373,1132.01739,170.136,16.985095,19.416699,-0.565552,2.405177,2.470775,0.065081,1,1,3,1,3,1,0,1,147,73.604532,24.534844,32.674176,60.803263,3,1,3,1,0,1,147,73.604532,24.534844,32.674176,60.803263
1248,0.0,16.862806,12.594826,40.866,27.105,589.831488,173.472,2.014932,756.938817,134.274,18.616851,12.305811,1.754045,-0.289015,1.777696,0.057263,1,1,7,3,5,3,0,7,84,46.208263,6.60118,11.532908,34.574174,7,3,5,3,0,7,84,46.208263,6.60118,11.532908,34.574174
1249,0.0,23.219202,30.116537,48.372,68.805,1022.988987,332.766,2.934935,1964.076255,232.686,23.311186,31.309612,0.091984,1.193075,1.196615,0.023929,1,1,6,2,5,1,1,8,229,112.168153,18.694692,28.170998,65.572525,6,2,5,1,1,8,229,112.168153,18.694692,28.170998,65.572525
1250,0.0,30.010405,29.283711,57.963,72.141,1346.770305,357.786,2.750247,2679.62949,258.54,29.359723,33.56344,-0.650683,4.279729,4.328911,0.074112,1,1,9,4,6,4,0,8,270,137.213338,15.245926,29.135814,81.00935,9,4,6,4,0,8,270,137.213338,15.245926,29.135814,81.00935
